Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;2;47;100,0;24;24;0;47;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;Totalt i retning Muse`gata;47;100,0;24;24;0;47;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;Totalt i retning Nyløkken/Telegrafbukta;41;100,0;24;24;0;41;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;Totalt;88;100,0;24;24;0;88;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;1;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;2;53;100,0;24;24;0;53;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;Totalt i retning Muse`gata;53;100,0;24;24;0;53;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;Totalt i retning Nyløkken/Telegrafbukta;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;Totalt;91;100,0;24;24;0;91;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;1;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;2;54;100,0;24;24;0;54;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;Totalt i retning Muse`gata;54;100,0;24;24;0;54;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;Totalt i retning Nyløkken/Telegrafbukta;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;Totalt;92;100,0;24;24;0;92;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;1;36;100,0;24;24;0;36;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;2;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;Totalt i retning Muse`gata;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;Totalt i retning Nyløkken/Telegrafbukta;36;100,0;24;24;0;36;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;Totalt;95;100,0;24;24;0;95;0,00;-;-;-;-;-;-;-;-
