År;Sektor;Tittel;Navn;Mengde
2013;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2015;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2015;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2015;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2016;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2016;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2016;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2017;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2017;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2017;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2018;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2018;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2018;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2019;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2019;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2019;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2020;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2020;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2020;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);El;0
2021;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Diesel;100
2021;Veitrafikk;Kjøring med tunge kjøretøy fordelt på drivstofftype (%);Gass;0
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Europavei;19,5
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Riksvei;6,4
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Fylkesvei;41,7
2021;Veitrafikk;CO2-utslipp fra personbil og varebil fordelt på veitype (%);Andre veier;32,4
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Europavei;10,5
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Riksvei;3
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Fylkesvei;29,5
2021;Veitrafikk;CO2-utslipp fra buss fordelt på veitype (%);Andre veier;57
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Europavei;30,9
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Riksvei;1,7
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Fylkesvei;60,1
2021;Veitrafikk;CO2-utslipp fra tunge kjøretøy fordelt på veitype (%);Andre veier;7,3
